jeremić,a	jer,emi,ća
travnik,a	t,rav,nika
film,a	fil,ma
dokument,a	d,ok,ument,a
rukopis,i	ru,kop,isi
magazin,i	mag,az,ini
vek,a	ve,ka
mlad,e	ml,ade
pirot,u	p,iro,tu
inspirisan,a	ins,pir,is,ana
poslanik,u	pos,lan,iku
statut,u	stat,utu
radikal,a	rad,ik,ala
irački,m	ira,č,kim
novinar,em	nov,in,arem
džordž,a	d,ž,ord,ža
buš,a	bu,ša
obrazloženje,m	ob,raz,ložen,jem
režim,u	re,ž,imu
medij,i	med,iji
cirkus,om	c,irk,us,om
glasnogovornik,a	glas,nog,ov,orn,ika
poslanik,e	pos,lan,ike
jeftin,i	je,ft,ini
poen,i	po,eni
poslovnik,a	pos,lov,nika
kraj,u	k,ra,ju
rajko,m	r,aj,kom
kuzmanović,em	k,uz,man,ović,em
način,e	nač,ine
cilj,u	cil,ju
skor,ije	sk,or,ije
škundrić,em	š,kund,ri,ć,em
neki,h	ne,kih
skor,u	sk,oru
podeljen,im	p,odel,jen,im
grad,ovima	grad,ovima
obećanje,m	obe,ć,an,jem
mera,ma	mer,ama
težnja,ma	te,ž,nj,ama
đorge,m	đ,org,em
ivanov,im	ivan,ov,im
odnos,i	od,n,osi
brazil,om	brazil,om
iran,a	i,rana
hrabrost,i	h,rab,rost,i
dubok,e	d,ub,oke
zabrinutost,i	z,ab,rin,ut,osti
stons,i	st,ons,i
mik,u	m,iku
džeger,u	d,ž,eger,u
stons,ima	st,ons,ima
mešovit,ih	me,š,ovit,ih
par,ova	par,ova
vimbldon,u	v,imb,ld,onu
gitarist,om	g,itar,ist,om
kit,om	kit,om
ričards,om	r,ič,ards,om
sklop,u	sk,lop,u
stons,a	st,ons,a
obožavalac,a	obo,ž,aval,aca
koncert,u	kon,cert,u
sat,a	s,ata
trabzon,u	t,rab,zon,u
luk,om	luk,om
fudbal,u	f,ud,bal,u
vimbldon,a	v,imb,ld,ona
par,ovima	par,ovima
jonas,a	jon,asa
bjorkman,a	b,j,ork,mana
poraz,a	por,aza
sliven,a	sl,iven,a
umetnik,a	um,et,nika
mok,-a	m,ok,-a
siti,ju	sit,iju
akropolj,a	ak,ropol,ja
arhitekt,a	arh,itek,ta
njen,oj	n,jen,oj
mermer,e	m,erm,ere
partenon,a	part,en,ona
projektovan,e	pro,jekt,ov,ane
sanduk,e	s,and,uke
punjen,e	pun,jene
velik,og	vel,ik,og
arhitekt,om	arh,itekt,om
muzej,a	mu,ze,ja
bernar,om	bern,ar,om
čumi,jem	č,um,ij,em
ambasador,a	amb,as,adora
artikal,a	art,ik,ala
vremenski,h	v,rem,ens,kih
uslov,a	us,lova
uslov,ima	us,lov,ima
vlažnost,i	v,la,ž,nosti
antikvitet,a	antik,vit,eta
metal,a	met,ala
sanduk,a	s,and,uka
nadzor,om	nad,zor,om
inženjer,a	in,žen,jera
kostas,a	k,ost,asa
zambas,a	z,amb,asa
objekt,a	obj,ek,ta
odabran,i	od,ab,rani
nagrađivan,i	n,agra,đ,iv,ani
bernar,a	bern,ara
čumi,ja	č,um,ija
njujork,u	n,ju,j,ork,u
staklen,a	st,ak,l,ena
stub,ovima	st,ub,ovima
kvadratni,h	kv,adrat,nih
transport,a	transport,a
sadržaj,a	s,adr,ž,aja
antikvitet,i	antik,v,itet,i
privremen,i	pr,ivre,meni
velik,a	vel,ika
međusprat,u	me,đ,us,pr,atu
staklen,om	st,ak,len,om
njihov,u	njih,ovu
partenon,u	part,en,onu
vek,ova	vek,ova
hram,a	hr,ama
akropolj,u	ak,ropol,ju
odnos,u	od,nos,u
stub,ove	st,ub,ove
savršenost,i	s,av,r,šen,osti
moj,ih	m,oj,ih
svojstven,o	s,voj,st,veno
postepen,o	post,ep,eno
mermer,i	m,erm,eri
muzej,u	mu,ze,ju
odgovarajući,h	od,gov,ar,aju,ć,ih
njihov,og	njih,ov,og
impresioniran,i	im,pres,ion,irani
mermer,a	m,erm,era
ime,nom	imen,om
elginov,i	el,gin,ovi
skulpturni,h	sk,ulpt,urn,ih
mermer,ima	m,erm,er,ima
friz,a	f,ri,za
uzeti,h	uz,et,ih
zabat,a	z,ab,ata
erehtejon,a	e,reh,tej,ona
fragment,e	f,rag,mente
nov,om	nov,om
liven,im	l,iven,im
zamena,ma	z,amen,ama
kontinuitet,a	kont,in,uit,eta
njen,og	n,jen,og
mandat,a	mand,ata
organizacija,ma	organiz,acij,ama
bugarski,h	bug,ars,kih
mastriht,u	m,ast,ri,htu
određen,im	od,re,đen,im
broj,em	bro,jem
beč,u	be,ču
ministar,a	minist,ara
nato,-a	na,to,-a
vankuver,a	v,ank,u,ver,a
vladivostok,a	v,lad,iv,ost,oka
dokument,ima	d,ok,ument,ima
obračun,u	ob,rač,unu
pretnja,ma	pre,tn,j,ama
sigurnost,i	sig,urn,osti
materijal,ima	m,ater,ijal,ima
format,u	format,u
zločin,a	z,lo,čina
prevremen,i	pre,vre,meni
tržišni,h	tr,ži,š,nih
postignut,og	post,ign,ut,og
održiv,og	od,rž,iv,og
konflikt,a	kon,fl,ik,ta
jap,a	j,apa
hop,a	h,opa
šefer,a	š,e,fera
pasi,ja	pas,ija
širok,e	š,iro,ke
plakat,a	pl,ak,ata
birač,a	b,ira,ča
kandidat,e	k,andidate
kandidat,i	k,andid,ati
skup,ove	sk,up,ove
plav,o	pl,avo
crven,e	cr,vene
pobednik,u	p,ob,ed,niku
širok,a	š,iro,ka
pokazatelj,a	pok,az,atel,ja
žestok,a	ž,est,oka
bilbord,e	bil,bor,de
podeljen,e	p,odel,jene
crven,o	cr,veno
plav,oj	pl,av,oj
crven,oj	cr,ven,oj
formulisan,a	form,ulis,ana
hdz,-u	hd,z,-u
pomoćnik,a	p,omo,ć,nika
sanader,a	san,ad,era
jurčić,u	j,ur,či,ću
donator,a	don,atora
izborni,h	iz,bor,nih
poslanički,h	pos,l,ani,čkih
azil,u	az,ilu
sudan,a	sud,ana
veroispovest,i	vero,isp,ov,esti
privatnost,i	pr,ivat,nosti
katić,a	k,ati,ća
pasoš,em	pas,oš,em
zdravstven,u	zd,rav,st,venu
pretendent,e	pret,endente
prvi,m	pr,vim
priznavanje,m	pri,zn,avan,jem
sistem,a	s,istema
zahtev,a	z,ah,te,va
podneti,h	pod,net,ih
bangladeš,a	b,angl,ade,ša
sadam,a	s,ad,ama
husein,a	h,use,ina
aerodrom,e	a,er,odrome
moguć,om	m,oguć,om
moguć,im	m,oguć,im
odlaganje,m	od,lag,an,jem
govor,u	gov,oru
helsinki,ju	h,els,ink,iju
brisel,om	b,ris,el,om
avion,ima	av,ion,ima
kiparski,h	kip,ars,kih
linija,ma	lin,ijama
puč,a	pu,ča
spor,ih	spor,ih
moguć,i	m,ogu,ći
sam,im	sam,im
stav,u	stav,u
naftovod,a	na,ft,ov,oda
složen,og	s,ložen,og
projekt,a	pro,jek,ta
ruski,m	r,usk,im
viktor,om	v,iktor,om
kristenko,m	krist,en,kom
iznos,u	iz,nos,u
sirov,a	s,iro,va
aleksandropolis,a	ale,ks,and,ropol,isa
egej,a	e,ge,ja
burgas,a	b,urg,asa
kapacitet,a	kap,ac,iteta
naftovod,om	na,ft,ov,odom
moreuz,a	more,u,za
jeftin,ije	je,ft,in,ije
barel,a	bare,la
sirov,e	s,iro,ve
vlasnički,h	v,las,nič,kih
tehnički,h	te,h,nič,kih
ekonomski,h	ek,onom,skih
parametar,a	param,et,ara
predložen,og	pred,ložen,og
naj,isplativ,ija	naj,is,pl,ativ,ija
uslov,i	us,l,ovi
zainteresovan,e	z,ain,teres,ov,ane
koordinator,a	ko,ordinator,a
partner,ima	partner,ima
skok,u	sk,oku
skok,a	sk,oka
otvoren,om	ot,vor,en,om
film,ovi	film,ovi
karneval,ima	kar,ne,val,ima
ritual,ima	rit,ual,ima
održan,im	od,rž,anim
patras,u	pat,ras,u
izvođač,i	iz,vo,đa,či
japan,a	j,ap,ana
festival,a	f,estival,a
režiser,a	re,ž,is,era
semih,a	s,emi,ha
kaplanoglu,a	kap,lan,ogl,ua
nirnberg,u	n,ir,n,ber,gu
festival,u	f,estival,u
dugometražni,h	du,g,omet,raž,nih
igrani,h	ig,ran,ih
svoj,om	s,voj,om
smrt,i	sm,r,ti
heroj,a	hero,ja
adem,a	ad,ema
jašari,ja	ja,š,ari,ja
događaj,a	d,oga,đ,aja
organizovan,og	organiz,ovan,og
pravosudni,h	prav,os,ud,nih
spremnost,i	sp,rem,nosti
određen,og	od,re,đen,og
januar,u	jan,uar,u
konkurentnost,i	kon,k,urent,nosti
ekspertski,h	eks,per,ts,kih
meglen,om	m,eg,len,om
kunev,om	k,une,vom
sergej,em	ser,ge,jem
stanišev,im	st,ani,šev,im
broj,a	bro,ja
evropski,h	ev,rops,kih
fond,ova	fond,ova
budućnost,i	bud,uć,nosti
komesar,om	kom,esar,om
oli,jem	o,lij,em
planiran,im	plan,ir,anim
strukturni,m	stru,k,turn,im
niz,u	n,izu
bombaški,h	b,omba,ških
mlad,ima	ml,ad,ima
slogan,a	s,log,ana
pano,ima	p,ano,ima
spot,ovi	spot,ovi
poznat,e	pozn,ate
sve,ga	s,ve,ga
podmladak,a	pod,ml,ad,aka
mlad,i	ml,adi
zabrinut,i	z,ab,rin,uti
etički,h	et,ič,kih
organizovan,i	organiz,ov,ani
analitičar,a	anal,iti,č,ara
rezultat,e	rez,ult,ate
poster,a	post,era
spot,a	sp,ota
zainteresovan,i	z,ain,teres,ov,ani
život,a	živ,ota
ideal,a	ide,ala
politički,m	pol,iti,č,kim
igrač,i	ig,ra,či
izlaznost,i	iz,l,az,nosti
rezultat,ima	rez,ultat,ima
moguć,a	m,ogu,ća
društven,u	d,ru,št,venu
njihov,i	njih,ovi
profil,e	profile
fejsbuk,u	fe,js,b,uku
internet,a	intern,eta
zapadni,m	z,ap,ad,nim
demokratija,ma	demokrat,ijama
žestok,e	ž,est,oke
socijaldemokrat,a	s,oc,ij,ald,em,ok,rata
opozicioni,h	op,oz,icion,ih
kabinet,a	k,abin,eta
stvaranje,m	st,var,an,jem
predstojeći,h	pred,sto,je,ć,ih
uzor,u	uz,oru
političar,e	pol,iti,č,are
vasić,a	v,asi,ća
portal,u	port,alu
blog,ove	blog,ove
bloger,ima	blog,er,ima
progres,a	pro,gres,a
snsd,-a	s,ns,d,-a
post,ove	post,ove
blog,u	blog,u
događaj,ima	d,oga,đ,ajima
protivnik,e	prot,iv,nike
rad,u	rad,u
rasprostranjen,ija	ras,prost,ran,jen,ija
frekventnost,i	f,rek,vent,nosti
mobing,a	m,ob,inga
izraz,a	iz,ra,za
učestalost,i	uč,estal,osti
oblik,a	obl,ika
loš,ih	lo,š,ih
kolega,ma	k,ole,g,ama
statut,ima	stat,ut,ima
spor,ovi	spor,ovi
poslodavac,a	pos,lod,av,aca
zaposlen,ih	z,apos,len,ih
proces,a	pro,ces,a
zavisnost,i	z,avis,nosti
prekršaj,a	pre,kr,š,aja
papir,u	pap,iru
obazriv,iji	ob,az,riv,iji
propis,a	prop,isa
prelaz,u	pre,l,azu
kosovo,m	k,os,ov,om
naj,nov,ijim	naj,nov,ij,im
akt,i	ak,ti
tamošnji,h	t,amo,šnjih
odnos,ima	od,nos,ima
barikada,ma	bar,ik,ad,ama
neprihvatljiv,o	ne,pri,h,vat,lj,ivo
naj,nov,ijem	naj,nov,ij,em
događaj,u	d,oga,đ,aju
interes,e	inter,ese
vaš,em	va,šem
akter,i	akter,i
dijalog,u	d,ijal,ogu
instrument,om	instrument,om
uspeh,a	us,pe,ha
interes,u	inter,es,u
čitav,e	čit,ave
tehnički,m	te,h,nič,kim
kontekst,u	kon,tek,stu
čitav,og	čit,av,og
naj,nov,iji	naj,nov,iji
događaj,i	d,oga,đ,aji
neprihvatljiv,i	ne,pri,h,vat,lj,ivi
proces,e	proc,ese
njihov,ih	njih,ov,ih
prioritet,e	p,rior,itete
krajnji,h	k,raj,njih
rok,ova	rok,ova
njen,om	n,jen,om
predlog,u	pred,logu
status,u	status,u
nadziran,u	nad,z,iran,u
stanovnik,a	stan,ov,nika
ambasador,ima	amb,as,ador,ima
predlog,e	pred,loge
muškarac,a	mu,š,kar,aca
tribjun,a	t,rib,j,una
agim,a	ag,ima
čeku,a	č,ek,ua
prijatelj,i	p,rij,atel,ji
nerešen,og	n,ere,šen,og
narod,a	nar,oda
duvan,a	du,vana
radnik,e	rad,nike
ugovor,u	ug,ov,oru
bulgartabak,a	b,ulg,art,ab,aka
komentar,u	kom,ent,aru
sindikat,a	s,ind,ik,ata
radnik,a	rad,nika
bulgartabakov,e	b,ulg,art,ab,ak,ove
blagojevgrad,u	bl,ago,jev,grad,u
pleven,u	p,le,venu
delatnost,i	del,at,nosti
filijala,ma	fil,ijal,ama
invest,a	inv,esta
holding,a	hold,inga
vlasnik,a	v,las,nika
konkurs,a	kon,k,urs,a
ran,ijoj	ran,ij,oj
finansijski,m	fin,ans,ij,skim
plan,ovima	plan,ovima
sam,a	s,ama
kredit,a	k,red,ita
autoput,a	aut,op,uta
suveren,i	su,ver,eni
koridor,a	kor,id,ora
segment,a	segment,a
dug,og	du,g,og
jugoistok,u	j,ugo,ist,oku
naplatni,h	nap,lat,nih
ugovor,a	ug,ov,ora
investicija,ma	in,vest,ic,ijama
tunel,a	t,un,ela
most,ova	most,ova
nadvožnjak,a	nad,vo,ž,nj,aka
podvožnjak,a	pod,vo,ž,nj,aka
prelaz,a	pre,l,aza
tabanovci,ma	t,aban,ov,c,ima
negotin,u	neg,ot,inu
konsultant,a	k,ons,ult,anta
obelodanjen,im	obel,odan,jen,im
tender,u	t,ender,u
konzorcijum,a	kon,z,orc,ij,uma
investitor,a	in,vest,itor,a
hotel,a	hot,ela
turistički,h	tur,istič,kih
put,eva	pute,va
odsek,a	od,se,ka
potpisivanje,m	pot,pis,ivan,jem
oblik,u	ob,liku
budžet,a	bud,ž,eta
kompanija,ma	kom,pan,ijama
porodica,ma	por,odic,ama
ideja,ma	ide,j,ama
njihov,oj	njih,ov,oj
magazin,a	mag,az,ina
niko,ga	nik,oga
ženski,h	ž,ens,kih
rukovodilac,a	ru,kov,odil,aca
sopstven,i	s,op,st,veni
kredit,ima	k,redit,ima
fond,a	f,onda
bankarski,m	bank,ars,kim
trenutak,a	tr,en,ut,aka
noć,i	no,ći
kredit,e	k,red,ite
moj,oj	m,oj,oj
poštovanje,m	po,št,ovan,jem
džentlmen,i	d,ž,ent,l,meni
istrajnost,i	ist,raj,nosti
usluga,ma	us,lug,ama
tekstil,a	tek,st,ila
konsalting,a	k,ons,al,ting,a
žena,ma	žen,ama
prosek,a	pro,se,ka
program,i	program,i
indikator,i	ind,ik,atori
broj,u	bro,ju
biznis,u	b,iz,nis,u
retki,h	ret,kih
šmatko,m	š,mat,kom
rosatom,a	ros,at,oma
jedinstven,u	jed,inst,venu
žestok,i	ž,est,oki
izvor,e	iz,v,ore
naš,a	na,ša
odbor,a	odb,ora
energetski,h	ener,get,skih
objekt,om	obj,ekt,om
visok,im	vis,ok,im
seizmički,m	se,iz,mi,č,kim
aktivnost,ima	aktiv,nost,ima
verski,h	vers,kih
spomenik,a	sp,omen,ika
izaslanik,a	izas,lan,ika
fatmir,om	fat,mi,rom
sejdiu,om	se,jd,iu,om
verski,m	vers,kim
zona,ma	zon,ama
spomenik,e	sp,omen,ike
zaštićen,e	za,šti,ć,ene
mnogi,h	m,nog,ih
detalj,a	det,alja
stav,ovima	stav,ovima
pokušaj,ima	p,oku,š,ajima
lider,e	lid,ere
održiv,i	od,rž,ivi
rohanov,a	r,oh,anova
marti,ja	mart,ija
ahtisari,ja	a,ht,is,ari,ja
albanac,a	al,ban,aca
ishod,a	ish,oda
vašington,a	va,š,ington,a
prav,i	pra,vi
urban,a	urb,ana
partner,i	partner,i
gledalac,a	g,ledal,aca
evroimidž,a	ev,ro,imid,ža
mlad,om	ml,ad,om
doktor,u	d,ok,tor,u
gotov,a	got,ova
distributer,a	dist,ribut,era
glumac,a	gl,um,aca
naj,poznat,ijih	naj,pozn,at,ij,ih
snimatelj,a	s,nim,atel,ja
režiser,om	re,ž,iser,om
kristof,om	krist,of,om
kišlovski,m	k,iš,lov,skim
avijatičar,a	av,ij,ati,č,ara
film,om	film,om
lav,a	lava
novost,i	nov,osti
dnevnik,a	d,nev,nika
buls,e	b,ulse
kings,e	king,se
kapital,a	kap,ital,a
divčev,e	div,če,ve
dnevnik,u	d,nev,niku
kapital,u	kap,ital,u
divčev,oj	div,če,voj
mali,h	m,alih
deoničar,a	de,oni,č,ara
nepošten,o	ne,po,šten,o
deoničar,ima	de,oni,čar,ima
tajkun,i	ta,jk,uni
povećanje,m	p,ove,ć,an,jem
uobičajen,o	u,ob,ičaj,eno
različit,e	raz,lič,ite
deoničar,e	de,oni,č,are
proizvođač,a	pro,iz,vo,đa,ča
naj,prodavan,ije	naj,prod,avan,ije
lobist,e	l,ob,iste
sedište,m	s,edi,št,em
priprema,ma	pri,pre,m,ama
španski,h	š,p,anskih
španski,m	š,p,ansk,im
luis,om	luis,om
rodrigez,om	rod,r,ige,z,om
zapatero,m	z,ap,ater,om
madrid,u	madrid,u
oblast,ima	oblast,ima
simeon,om	s,ime,onom
sastanak,a	s,ast,an,aka
stol,om	st,olom
mogućnost,ima	m,oguć,nost,ima
stol,u	st,olu
društven,og	d,ru,št,ven,og
rezultat,a	rez,ult,ata
red,u	redu
stav,ova	stav,ova
svečanost,i	s,ve,čan,osti
madrid,a	m,adr,ida
priznanje,m	pri,zn,an,jem
doprinos,a	dop,rin,osa
mladost,i	ml,ad,osti
dom,a	d,oma
egzil,u	eg,z,ilu
department,a	department,a
podsekretar,om	pod,sek,ret,ar,om
marko,m	mark,om
grosman,om	g,ros,man,om
evroatlantski,h	ev,ro,atl,ants,kih
moguć,e	m,ogu,će
musliman,a	mus,lim,ana
vojislav,om	v,oj,islav,om
boris,om	b,oris,om
tadić,em	t,adi,ć,em
svetozar,om	s,vet,oz,ar,om
marović,em	mar,ović,em
vuk,om	v,uk,om
drašković,em	dra,šk,ović,em
mladić,a	m,ladi,ća
nalog,a	nal,oga
bivši,h	b,iv,š,ih
vlastimir,a	v,last,im,ira
đorđević,a	đ,or,đe,vi,ća
sreten,a	s,reten,a
pavković,a	p,av,ković,a
vladimir,a	v,lad,im,ira
lazarević,a	l,az,are,vi,ća
moć,i	mo,ći
grosman,u	g,ros,man,u
posvećenost,i	pos,ve,ćen,osti
optužen,og	opt,už,en,og
naj,tražen,ija	naj,tra,žen,ija
osumnjičen,a	os,umn,ji,čena
mksj,-a	mk,s,j,-a
pun,a	p,una
plan,ove	plan,ove
jadran,u	j,ad,ranu
prijateljski,h	p,rij,atelj,skih
otvoren,ih	ot,vor,en,ih
dve,ju	d,ve,ju
slovenački,m	sl,ov,ena,č,kim
anton,om	ant,onom
rop,om	r,op,om
novembarski,m	nov,emb,ars,kim
februar,u	f,ebru,aru
datum,a	dat,uma
berlin,u	berlin,u
irski,m	ir,skim
berti,jem	b,ert,ij,em
ahern,om	a,her,nom
šestomesečni,m	š,est,om,ese,č,nim
mandat,om	mand,atom
ginter,om	g,inter,om
ferhojgen,om	fer,ho,j,gen,om
povratnik,a	p,ov,rat,nika
raseljen,ih	ras,el,jenih
pogođen,im	p,ogo,đen,im
fotograf,i	f,ot,ografi
fotograf,a	f,ot,ograf,a
rad,ove	rad,ove
štampan,im	št,amp,anim
tvoj,im	t,voj,im
tomislav,u	tom,islav,u
georgijev,u	georg,ije,vu
arhus,u	ar,h,usu
prvak,a	pr,v,aka
parter,u	par,ter,u
preskok,u	pres,k,oku
kozlić,a	koz,li,ća
vežba,ma	ve,ž,b,ama
razboj,u	raz,bo,ju
srebrn,u	s,re,br,nu
bronzan,u	bron,z,anu
višeboj,u	vi,š,eb,oju
ostali,h	ost,alih
učesnik,a	uč,es,nika
karika,ma	kar,ik,ama
planina,ma	plan,inama
zemljotres,u	zem,lj,ot,res,u
poreklo,m	p,ore,kl,om
naj,talentovan,ijih	naj,tal,ent,ovan,ij,ih
festivalski,h	fest,ivals,kih
florijan,a	flor,ij,ana
donersmark,a	don,ers,mark,a
žiri,ja	ž,ir,ija
porumboju,a	por,um,boj,ua
bukurešt,a	b,uk,ure,šta
biometrijski,m	bi,omet,rij,skim
karta,ma	k,art,ama
crnogorski,m	cr,nog,ors,kim
milan,om	m,ilan,om
roćen,om	ro,ćen,om
sporazum,i	spor,az,umi
pun,o	p,uno
domen,ima	d,omen,ima
turist,ima	tur,ist,ima
ulcinj,u	ul,cin,ju
pasoš,a	pas,o,ša
moj,a	mo,ja
moj,u	m,oju
pun,e	p,une
gaš,i	ga,ši
sporazum,om	spor,az,um,om
godina,ma	god,inama
migracija,ma	mig,rac,ijama
putni,h	put,nih
sporazum,ima	spor,az,um,ima
moguć,em	m,oguć,em
sporazum,u	spor,az,umu
datum,e	dat,ume
kandidat,ima	k,andid,at,ima
država,ma	dr,ž,av,ama
seminar,u	sem,inar,u
dokument,e	d,ok,umente
slab,og	sl,ab,og
privilegovan,o	priv,ile,gov,ano
gol,ove	gol,ove
živ,lji	živ,l,ji
stav,ovi	stav,ovi
dobrosusedski,h	dob,ros,used,skih
stacioniran,ih	st,acion,iran,ih
umor,u	um,oru
samit,om	sam,it,om
usvajanje,m	us,vaj,an,jem
njen,a	nj,ena
različit,im	raz,lič,itim
određivanje,m	od,re,đ,ivan,jem
reper,a	re,pera
reformski,m	reform,skim
poduhvat,ima	pod,uh,vat,ima
jezik,u	jez,iku
tekst,a	tek,sta
majkrosoftov,e	maj,k,ro,soft,ove
program,e	pro,gr,ame
naziv,a	naz,iva
softverski,h	soft,vers,kih
element,i	element,i
meni,ja	men,ija
prevod,a	prev,oda
poznat,im	pozn,atim
lingvist,ima	ling,vist,ima
kompjuter,a	kom,p,jut,era
majkrosoft,a	maj,k,ro,soft,a
makedonac,a	m,aked,on,aca
korisnik,a	kor,is,nika
majkrosoftov,ih	maj,k,ro,soft,ov,ih
piratski,h	pir,ats,kih
softver,a	soft,ver,a
licencirani,h	lic,enc,iran,ih
autorski,h	aut,ors,kih
nasleđe,m	nas,le,đ,em
ratni,h	rat,nih
jedinstven,og	jed,inst,ven,og
mehanizam,a	me,han,iz,ama
chp,-a	ch,p,-a
vid,ova	vid,ova
činjenica,ma	čin,jen,ic,ama
protokol,u	pro,tok,olu
prošlost,i	pro,š,losti
usklađen,ih	usk,la,đen,ih
ratni,m	rat,nim
zločin,ima	z,lo,čin,ima
bilten,u	bil,tenu
mirsad,a	m,irs,ada
document,e	doc,umente
određen,i	od,re,đeni
osumnjičen,ima	os,umn,ji,čen,ima
zločin,i	z,lo,č,ini
neorganizovan,ih	ne,organiz,ovan,ih
određen,ih	od,re,đen,ih
neodređen,ih	ne,od,re,đen,ih
student,e	stud,ente
aktivist,e	aktiv,iste
tema,ma	tem,ama
ešdaunov,a	e,š,da,un,ova
pedi,ja	ped,ija
ešdaun,a	e,š,da,una
suštinski,m	su,št,ins,kim
princip,ima	pr,incip,ima
dogovor,u	dog,ov,oru
izvodljivost,i	iz,vod,ljiv,osti
sds,-a	s,ds,-a
policijski,m	p,olic,ij,skim
neprihvatljiv,e	ne,pri,h,vat,lj,ive
potpun,i	pot,p,uni
prosperitet,a	pros,per,iteta
izgled,i	iz,g,ledi
entitet,a	ent,iteta
zasnovan,ih	zas,n,ovan,ih
dragan,a	dra,gan,a
čović,a	č,ović,a
milorad,a	m,ilor,ada
dodik,a	d,od,ika
napor,ima	nap,or,ima
avaz,u	av,azu
kapacitet,om	kap,ac,itet,om
brčko,m	br,č,kom
fikret,a	f,ik,reta
hasanović,a	h,asan,ović,a
pan,a	p,ana
panić,a	p,ani,ća
atentat,om	at,ent,atom
đinđić,a	đ,in,đ,i,ća
ubistvo,m	ub,ist,vom
zoran,a	z,or,ana
ultranacionalist,e	ul,tran,acional,iste
šešelj,a	š,e,šel,ja
đinđićev,o	đ,in,đ,i,će,vo
luković,a	l,uk,ović,a
osumnjičen,og	os,umn,ji,čen,og
paravojni,h	par,av,oj,nih
slobodan,a	sl,obod,ana
milošević,a	m,ilo,še,vi,ća
luković,u	l,uk,ović,u
optužen,ima	opt,už,en,ima
velik,ih	vel,ik,ih
razmer,a	raz,mera
paravojni,m	par,av,oj,nim
struktura,ma	struktur,ama
formiran,im	form,ir,anim
rat,ova	rat,ova
komandant,a	kom,and,anta
jso,-a	j,so,-a
automobil,a	aut,om,ob,ila
reformist,a	reform,ista
nacionalist,e	n,acional,iste
tomić,a	t,omi,ća
rade,ta	rad,eta
bulatović,a	b,ulat,ović,a
savetnik,a	s,av,et,nika
atentat,a	at,ent,ata
slučaj,a	sl,uč,aja
đinđićev,e	đ,in,đ,i,će,ve
suđenje,m	su,đen,jem
propust,a	prop,usta
sekulić,a	s,ek,uli,ća
milan,a	mil,ana
miljojković,a	mil,j,oj,ković,a
bekim,a	b,ek,ima
fehmiju,a	fe,hm,ij,ua
istaknut,u	ist,ak,nut,u
stan,u	stan,u
glumčev,a	gl,um,če,va
prizren,a	p,riz,rena
ljubitelj,i	lj,ub,itel,ji
fehmiju,u	fe,hm,iju,u
film,ove	film,ove
narod,ima	nar,od,ima
gvozden,e	g,voz,den,e
blok,a	bl,oka
naj,čuven,ijih	naj,ču,ven,ij,ih
pijan,i	p,ij,ani
go,lim	gol,im
fehmijuov,e	fe,hm,iju,ove
režiser,ima	re,ž,iser,ima
film,ovima	film,ovima
pad,u	p,adu
poznat,a	pozn,ata
visok,oj	vis,ok,oj
smrtnost,i	sm,r,tn,osti
pad,om	pad,om
živorođeni,h	živ,oro,đen,ih
društven,ih	d,ru,št,ven,ih
razvod,om	raz,vod,om
brak,a	bra,ka
karijera,ma	k,ari,jer,ama
sociodemografski,m	s,oci,odem,ograf,skim
abortus,ima	ab,ort,us,ima
instat,-a	in,stat,-a
neprijavljen,e	ne,p,rij,avlj,ene
abortus,e	ab,ort,use
vezan,i	vez,ani
mlad,im	ml,ad,im
dete,tu	det,etu
abortus,i	ab,ort,usi
dervišijev,im	d,erv,iš,ije,vim
roditelj,i	rod,itel,ji
nov,ije	nov,ije
sused,i	s,used,i
balkanski,m	b,alk,ansk,im
berza,ma	ber,z,ama
milion,e	mil,ione
ktv,-u	k,tv,-u
posmatrač,i	pos,mat,ra,či
vladin,i	v,lad,ini
predostrožnost,i	pred,ostro,ž,nosti
nejak,e	nej,ake
žarkuov,o	ž,ark,u,ovo
insajt,u	ins,aj,tu
emigrant,i	em,igr,anti
banka,ma	bank,ama
kolaps,a	kol,aps,a
rast,a	r,asta
godišnji,m	g,odi,šnj,im
rast,om	r,astom
institut,om	in,stitut,om
privremen,o	pr,ivre,meno
srednji,h	s,red,njih
privremen,og	pr,ivre,men,og
nezaposlen,ima	nez,apos,len,ima
institucija,ma	in,stit,uc,ijama
enver,a	en,ver,a
diktatorski,m	d,ikt,ators,kim
režim,om	re,ž,im,om
nadolazeći,h	nad,ol,aze,ć,ih
vladar,a	v,lad,ara
naj,izolovan,ijom	naj,iz,ol,ovan,ijom
prostor,a	prost,ora
list,a	lista
karajev,i	kar,aje,vi
diktator,u	d,ikt,ator,u
bogat,iji	b,ogat,iji
identitet,u	ident,itet,u
brz,og	br,zog
problem,i	pro,ble,mi
noga,ma	nog,ama
sam,i	s,ami
prepreka,ma	pre,pre,k,ama
tvrdoglav,i	tv,rd,og,lav,i
džejms,a	d,ž,ej,ms,a
bejker,a	be,jk,era
posed,a	posed,a
zaplenjen,ih	z,ap,len,jenih
manjina,ma	man,jin,ama
glasnik,u	glas,niku
dom,ove	dom,ove
nezbrinut,u	nez,br,in,utu
različitost,i	raz,lič,it,osti
hrišćanski,h	h,ri,šć,anskih
jevrejski,h	je,vre,j,skih
zahtev,e	z,ah,teve
turski,m	t,urs,kim
rok,u	ro,ku
