jeremić,a	jere,mi,ća
mastriht,u	ma,stri,h,tu
određen,im	određenim
broj,em	brojem
beč,u	be,ču
ministar,a	mini,stara
nato,-a	nato,-,a
vankuver,a	van,ku,vera
vladivostok,a	vladi,vo,sto,ka
dokument,ima	dokumentima
obračun,u	obraču,nu
pretnja,ma	pret,njama
sigurnost,i	sigurnosti
materijal,ima	materijalima
format,u	forma,tu
zločin,a	zločina
prevremen,i	pre,vremen,i
tržišni,h	tržiš,nih
postignut,og	postignu,tog
održiv,og	održivog
konflikt,a	konflik,ta
jap,a	ja,pa
hop,a	h,op,a
šefer,a	š,efe,ra
pasi,ja	pa,sija
širok,e	širo,ke
plakat,a	pla,kata
birač,a	bira,ča
kandidat,e	kandi,date
kandidat,i	kandi,dati
skup,ove	sku,pove
plav,o	plav,o
crven,e	crvene
pobednik,u	pobed,niku
širok,a	širo,ka
pokazatelj,a	pokazatelja
žestok,a	že,sto,ka
bilbord,e	bil,bor,de
podeljen,e	pode,ljene
crven,o	crveno
plav,oj	plav,oj
crven,oj	crven,oj
formulisan,a	formuli,sana
hdz,-u	h,d,z,-,u
pomoćnik,a	pomoć,nika
sanader,a	s,ana,dera
jurčić,u	j,ur,či,ću
donator,a	dona,tora
izborni,h	izbor,nih
poslanički,h	poslani,čkih
azil,u	az,ilu
sudan,a	su,dana
veroispovest,i	vero,ispove,sti
privatnost,i	privatnosti
katić,a	ka,tića
pasoš,em	paso,šem
zdravstven,u	zdravstvenu
pretendent,e	pre,tenden,te
prvi,m	prvim
priznavanje,m	prizna,vanjem
sistem,a	sistema
zahtev,a	zahteva
podneti,h	podne,tih
bangladeš,a	ban,gla,de,ša
sadam,a	sa,dama
husein,a	hu,se,ina
aerodrom,e	aerodro,me
moguć,om	moguć,om
moguć,im	moguć,im
odlaganje,m	od,lag,anjem
govor,u	govoru
helsinki,ju	hel,sin,ki,ju
brisel,om	bri,se,lom
avion,ima	avi,onima
kiparski,h	ki,par,skih
linija,ma	linijama
puč,a	pu,ča
spor,ih	spo,rih
moguć,i	mogući
sam,im	samim
stav,u	stavu
naftovod,a	na,ft,ov,oda
složen,og	slo,ženog
projekt,a	projekta
ruski,m	ruskim
viktor,om	vik,torom
kristenko,m	kri,sten,kom
iznos,u	iznosu
sirov,a	sir,ova
aleksandropolis,a	aleksan,dro,poli,sa
egej,a	e,ge,ja
burgas,a	bur,gasa
kapacitet,a	kapaciteta
naftovod,om	na,ft,ov,odom
moreuz,a	mo,re,u,za
jeftin,ije	jeftini,je
barel,a	ba,re,la
sirov,e	sir,ove
vlasnički,h	vlasni,čkih
tehnički,h	tehničkih
ekonomski,h	ekonomskih
parametar,a	parametara
predložen,og	predložen,og
naj,isplativ,ija	naj,ispla,tivi,ja
uslov,i	uslovi
zainteresovan,e	zainteres,ovane
koordinator,a	koordina,tora
partner,ima	partnerima
skok,u	sko,ku
skok,a	skoka
otvoren,om	otvorenom
film,ovi	film,ovi
karneval,ima	kar,ne,valima
ritual,ima	ri,tua,lima
održan,im	održ,anim
patras,u	pa,tra,su
izvođač,i	izvođa,či
japan,a	jap,ana
festival,a	festivala
režiser,a	reži,sera
semih,a	se,mi,ha
kaplanoglu,a	ka,plan,o,glu,a
nirnberg,u	ni,r,n,ber,gu
festival,u	festi,valu
dugometražni,h	dugo,me,traž,nih
igrani,h	igra,nih
svoj,om	svojom
smrt,i	smrti
heroj,a	hero,ja
adem,a	a,de,ma
jašari,ja	ja,ša,rija
događaj,a	događaja
organizovan,og	organizovanog
pravosudni,h	pravosud,nih
spremnost,i	sprem,nosti
određen,og	određenog
januar,u	januaru
konkurentnost,i	konkurentnosti
ekspertski,h	ekspert,skih
meglen,om	me,gl,enom
kunev,om	ku,ne,vom
sergej,em	ser,ge,jem
stanišev,im	stani,še,vim
broj,a	broja
evropski,h	evropskih
fond,ova	fon,dova
budućnost,i	budućnosti
komesar,om	ko,me,sa,rom
oli,jem	oli,jem
planiran,im	plani,ranim
strukturni,m	struktur,nim
niz,u	nizu
bombaški,h	bom,ba,ških
mlad,ima	mla,dima
slogan,a	slo,gana
pano,ima	pan,o,ima
spot,ovi	spo,tovi
poznat,e	poznate
sve,ga	svega
podmladak,a	pod,mla,da,ka
mlad,i	mladi
zabrinut,i	zabrinu,ti
etički,h	e,tičkih
organizovan,i	organizovani
analitičar,a	analiti,čara
rezultat,e	rezultate
poster,a	po,stera
spot,a	spo,ta
zainteresovan,i	zainteresovani
život,a	života
ideal,a	ide,ala
politički,m	političkim
igrač,i	igrači
izlaznost,i	izlaz,nosti
rezultat,ima	rezultatima
moguć,a	moguća
društven,u	društvenu
njihov,i	njihovi
profil,e	profil,e
fejsbuk,u	fejsbu,ku
internet,a	interneta
zapadni,m	zapad,nim
demokratija,ma	demokra,ti,jama
žestok,e	že,sto,ke
socijaldemokrat,a	socijal,demokra,ta
opozicioni,h	opozi,cionih
kabinet,a	kabine,ta
stvaranje,m	stva,ranjem
predstojeći,h	predstoje,ćih
uzor,u	uzor,u
političar,e	politič,are
vasić,a	va,si,ća
portal,u	portalu
blog,ove	blo,gove
bloger,ima	blo,ge,rima
progres,a	progre,sa
snsd,-a	sn,sd,-,a
post,ove	post,ove
blog,u	blo,gu
događaj,ima	događajima
protivnik,e	protiv,nike
rad,u	radu
rasprostranjen,ija	rasprostra,njen,ija
frekventnost,i	frekven,tnosti
mobing,a	mob,inga
izraz,a	izraza
učestalost,i	učestalosti
oblik,a	oblika
loš,ih	loš,ih
kolega,ma	kolegama
statut,ima	statu,tima
spor,ovi	spor,ovi
poslodavac,a	poslod,avaca
zaposlen,ih	zaposlenih
proces,a	procesa
zavisnost,i	zavisnosti
prekršaj,a	prekrša,ja
papir,u	papi,ru
obazriv,iji	ob,az,ri,vi,ji
propis,a	propisa
prelaz,u	prela,zu
kosovo,m	kos,ovom
naj,nov,ijim	najnovi,jim
akt,i	ak,ti
tamošnji,h	tamo,š,njih
odnos,ima	odnosima
barikada,ma	bari,ka,dama
neprihvatljiv,o	ne,prihvat,ljivo
naj,nov,ijem	najnovi,jem
događaj,u	događaju
interes,e	interese
vaš,em	vašem
akter,i	akteri
dijalog,u	dijalo,gu
instrument,om	instru,mentom
uspeh,a	uspeha
interes,u	interesu
čitav,e	čitave
tehnički,m	tehničkim
kontekst,u	kontekstu
čitav,og	čitavog
naj,nov,iji	najnovi,ji
događaj,i	događaji
neprihvatljiv,i	ne,prihvatlji,vi
proces,e	procese
njihov,ih	njihovih
prioritet,e	priori,tete
krajnji,h	kraj,njih
rok,ova	ro,kova
njen,om	njenom
predlog,u	predlo,gu
status,u	statusu
nadziran,u	nad,zi,ranu
stanovnik,a	stanovnika
ambasador,ima	ambasa,do,rima
predlog,e	predloge
muškarac,a	muškaraca
tribjun,a	tri,b,juna
agim,a	a,g,ima
čeku,a	če,ku,a
prijatelj,i	prijatelji
nerešen,og	nere,šenog
narod,a	naroda
duvan,a	du,vana
radnik,e	radnike
ugovor,u	ugovoru
bulgartabak,a	bul,gar,ta,ba,ka
komentar,u	komenta,ru
sindikat,a	sindikata
radnik,a	radnika
bulgartabakov,e	bul,gar,ta,ba,kove
blagojevgrad,u	bla,go,jev,gradu
pleven,u	ple,ven,u
delatnost,i	delatnosti
filijala,ma	fili,jal,ama
invest,a	in,ve,sta
holding,a	hol,din,ga
vlasnik,a	vlasnika
konkurs,a	konkursa
ran,ijoj	rani,joj
finansijski,m	finansijskim
plan,ovima	planovima
sam,a	sama
kredit,a	kredita
autoput,a	auto,puta
suveren,i	suvereni
koridor,a	kori,dora
segment,a	segmenta
dug,og	dug,og
jugoistok,u	jugo,istoku
naplatni,h	napla,tnih
ugovor,a	ugovora
investicija,ma	investi,cijama
tunel,a	tune,la
most,ova	most,ova
nadvožnjak,a	nad,vož,njaka
podvožnjak,a	pod,vož,njaka
prelaz,a	prelaza
tabanovci,ma	ta,ban,ov,cima
negotin,u	ne,got,inu
konsultant,a	konsul,tanta
obelodanjen,im	obel,od,an,jenim
tender,u	ten,de,ru
konzorcijum,a	kon,zor,ci,juma
investitor,a	investitora
hotel,a	hotela
turistički,h	turističkih
put,eva	puteva
odsek,a	odse,ka
potpisivanje,m	potpi,si,vanjem
oblik,u	obliku
budžet,a	budžeta
kompanija,ma	kompanijama
porodica,ma	porodicama
ideja,ma	ide,jama
njihov,oj	njihovoj
magazin,a	maga,zina
niko,ga	nikoga
ženski,h	žen,skih
rukovodilac,a	rukovodi,laca
sopstven,i	sopstveni
kredit,ima	kredi,tima
fond,a	fonda
bankarski,m	bankar,skim
trenutak,a	trenu,taka
noć,i	noći
kredit,e	kredite
moj,oj	mojoj
poštovanje,m	pošt,ovanjem
džentlmen,i	d,žen,t,l,meni
istrajnost,i	istra,jnosti
usluga,ma	uslugama
tekstil,a	tekst,ila
konsalting,a	kon,sal,tin,ga
žena,ma	ženama
prosek,a	proseka
program,i	programi
indikator,i	indika,tori
broj,u	broju
biznis,u	b,iz,nisu
retki,h	retkih
šmatko,m	š,mat,kom
rosatom,a	ro,sa,to,ma
jedinstven,u	jedinstven,u
žestok,i	že,sto,ki
izvor,e	izvore
naš,a	naša
odbor,a	odbora
energetski,h	energetskih
objekt,om	objek,tom
visok,im	visokim
seizmički,m	se,izmi,čkim
aktivnost,ima	aktivnostima
verski,h	ver,skih
spomenik,a	spomenika
izaslanik,a	iza,sl,anika
fatmir,om	f,at,mi,rom
sejdiu,om	se,j,di,u,om
verski,m	ver,skim
zona,ma	zo,nama
spomenik,e	spomeni,ke
zaštićen,e	zašti,ćene
mnogi,h	mnogih
detalj,a	detalja
stav,ovima	stavovima
pokušaj,ima	pokuša,jima
lider,e	lide,re
održiv,i	odr,živi
rohanov,a	ro,han,ova
marti,ja	mar,tija
ahtisari,ja	ah,ti,sa,rija
albanac,a	albanaca
ishod,a	ishoda
vašington,a	vašing,tona
prav,i	pravi
urban,a	urb,ana
partner,i	partneri
gledalac,a	gle,dal,aca
evroimidž,a	evro,imi,dža
mlad,om	mla,dom
doktor,u	dok,toru
gotov,a	got,ova
distributer,a	distribu,tera
glumac,a	glu,maca
naj,poznat,ijih	najpozna,tijih
snimatelj,a	sni,ma,telja
režiser,om	reži,se,rom
kristof,om	kri,sto,fom
kišlovski,m	k,iš,lov,skim
avijatičar,a	a,vija,ti,čara
film,om	fil,mom
lav,a	l,ava
novost,i	novosti
dnevnik,a	dnev,nika
buls,e	bul,se
kings,e	k,ing,se
kapital,a	kapitala
divčev,e	di,v,čeve
dnevnik,u	dnev,niku
kapital,u	kapit,alu
divčev,oj	di,v,če,voj
mali,h	malih
deoničar,a	de,oni,čara
nepošten,o	nepo,št,eno
deoničar,ima	de,oni,čarima
tajkun,i	taj,ku,ni
povećanje,m	povećanjem
uobičajen,o	uobičajeno
različit,e	različite
deoničar,e	de,o,nič,are
proizvođač,a	proizvođača
naj,prodavan,ije	naj,prodav,anije
lobist,e	l,obi,ste
sedište,m	sedi,štem
priprema,ma	pripre,mama
španski,h	špan,skih
španski,m	špan,skim
luis,om	lu,is,om
rodrigez,om	rod,ri,ge,zom
zapatero,m	za,pa,te,rom
madrid,u	madri,du
oblast,ima	oblastima
simeon,om	si,me,onom
sastanak,a	sa,st,anaka
stol,om	sto,lom
mogućnost,ima	mogućnostima
stol,u	sto,lu
društven,og	društvenog
rezultat,a	rezultata
red,u	redu
stav,ova	stavova
svečanost,i	sve,čan,osti
madrid,a	madri,da
priznanje,m	pri,znanjem
doprinos,a	doprinosa
mladost,i	mlado,sti
dom,a	doma
egzil,u	eg,z,ilu
department,a	de,part,menta
podsekretar,om	pod,sekre,ta,rom
marko,m	mar,kom
grosman,om	gro,sman,om
evroatlantski,h	evro,at,lan,tskih
moguć,e	moguće
musliman,a	musli,mana
vojislav,om	vo,ji,slav,om
boris,om	bori,som
tadić,em	ta,di,ćem
svetozar,om	sveto,za,rom
marović,em	mar,ovićem
vuk,om	vu,kom
drašković,em	dra,ško,vi,ćem
mladić,a	mla,dića
nalog,a	naloga
bivši,h	biv,ših
vlastimir,a	vla,sti,mira
đorđević,a	đor,đe,vića
sreten,a	sre,tena
pavković,a	pav,kovića
vladimir,a	vladimira
lazarević,a	laza,re,vića
moć,i	moći
grosman,u	gro,sman,u
posvećenost,i	posvećen,osti
optužen,og	optu,ženog
naj,tražen,ija	naj,tra,ženi,ja
osumnjičen,a	osumnji,čena
mksj,-a	m,k,s,j,-,a
pun,a	puna
plan,ove	planove
jadran,u	jad,ranu
prijateljski,h	prijatelj,skih
otvoren,ih	otvor,enih
dve,ju	dve,ju
slovenački,m	slovena,čkim
anton,om	anto,nom
rop,om	ro,pom
novembarski,m	nove,mbar,skim
februar,u	febru,aru
datum,a	datuma
berlin,u	ber,linu
irski,m	ir,skim
berti,jem	ber,ti,jem
ahern,om	a,her,nom
šestomesečni,m	šesto,mese,čnim
mandat,om	man,datom
ginter,om	g,inte,rom
ferhojgen,om	fer,ho,j,gen,om
povratnik,a	povra,tnika
raseljen,ih	rase,ljenih
pogođen,im	pogo,đenim
fotograf,i	fotografi
fotograf,a	foto,grafa
rad,ove	radove
štampan,im	štamp,anim
tvoj,im	t,voj,im
tomislav,u	to,misl,av,u
georgijev,u	ge,or,gi,jevu
arhus,u	ar,hu,su
prvak,a	prva,ka
parter,u	par,teru
preskok,u	pre,sko,ku
kozlić,a	koz,lića
vežba,ma	vež,bama
razboj,u	raz,boju
srebrn,u	sre,br,nu
bronzan,u	bron,zan,u
višeboj,u	više,boju
ostali,h	ostalih
učesnik,a	učesnika
karika,ma	kari,kama
planina,ma	plan,inama
zemljotres,u	zemljo,tre,su
poreklo,m	poreklom
naj,talentovan,ijih	naj,talen,tov,ani,jih
festivalski,h	festi,val,skih
florijan,a	f,lo,rij,ana
donersmark,a	do,ner,s,mar,ka
žiri,ja	ži,rija
porumboju,a	poru,mbo,ju,a
bukurešt,a	bu,ku,re,šta
biometrijski,m	bio,metrij,skim
karta,ma	kar,tama
crnogorski,m	crnogor,skim
milan,om	mil,anom
roćen,om	ro,ćenom
sporazum,i	sporazu,mi
pun,o	puno
domen,ima	do,men,ima
turist,ima	turi,stima
ulcinj,u	ul,cin,ju
pasoš,a	paso,ša
moj,a	moja
moj,u	moju
pun,e	pune
gaš,i	ga,ši
sporazum,om	sporazu,mom
godina,ma	godinama
migracija,ma	migra,cijama
putni,h	pu,tnih
sporazum,ima	sporazu,mima
moguć,em	mogu,ćem
sporazum,u	sporazu,mu
datum,e	datu,me
kandidat,ima	kandida,tima
država,ma	državama
seminar,u	se,min,aru
dokument,e	doku,mente
slab,og	sla,bog
privilegovan,o	privile,gov,ano
gol,ove	go,love
živ,lji	živ,lji
stav,ovi	stavovi
dobrosusedski,h	dobro,sused,skih
stacioniran,ih	sta,cioni,ranih
umor,u	u,moru
samit,om	sa,mi,tom
usvajanje,m	usva,janjem
njen,a	njena
različit,im	različitim
određivanje,m	određi,vanjem
reper,a	re,pera
reformski,m	re,for,mskim
poduhvat,ima	poduhva,tima
jezik,u	jeziku
tekst,a	teksta
majkrosoftov,e	maj,kro,soft,ove
program,e	programe
naziv,a	naziva
softverski,h	softver,skih
element,i	elementi
meni,ja	meni,ja
prevod,a	pre,voda
poznat,im	poznatim
lingvist,ima	lingvi,stima
kompjuter,a	kompju,tera
majkrosoft,a	maj,kro,so,f,ta
makedonac,a	makedo,na,ca
korisnik,a	korisnika
majkrosoftov,ih	maj,kro,soft,ovih
piratski,h	pi,ra,tskih
softver,a	softvera
licencirani,h	licen,ci,ranih
autorski,h	autor,skih
nasleđe,m	nasle,đem
ratni,h	ratnih
jedinstven,og	jedinstven,og
mehanizam,a	mehanizama
chp,-a	c,hp,-,a
vid,ova	vid,ova
činjenica,ma	činjeni,cama
protokol,u	proto,kolu
prošlost,i	prošlosti
usklađen,ih	uskla,đenih
ratni,m	ra,tnim
zločin,ima	zlo,čin,ima
bilten,u	bil,ten,u
mirsad,a	mir,sada
document,e	do,cu,mente
određen,i	određeni
osumnjičen,ima	osumnji,čen,ima
zločin,i	zlo,čini
neorganizovan,ih	ne,organiz,ovanih
određen,ih	određenih
neodređen,ih	ne,određenih
student,e	studente
aktivist,e	aktivi,ste
tema,ma	temama
ešdaunov,a	e,š,da,u,nova
pedi,ja	pe,dija
ešdaun,a	e,š,da,una
suštinski,m	sušt,inskim
princip,ima	principima
dogovor,u	do,govoru
izvodljivost,i	izvod,ljivosti
sds,-a	s,ds,-,a
policijski,m	policij,skim
neprihvatljiv,e	ne,prihvat,ljive
potpun,i	potpu,ni
prosperitet,a	pro,speri,teta
izgled,i	izgle,di
entitet,a	entiteta
zasnovan,ih	zasnov,anih
dragan,a	dragana
čović,a	č,ovića
milorad,a	milo,rada
dodik,a	dodi,ka
napor,ima	napo,rima
avaz,u	ava,zu
kapacitet,om	kapaci,tetom
brčko,m	br,čkom
fikret,a	fi,kre,ta
hasanović,a	ha,san,ovića
pan,a	p,ana
panić,a	p,ani,ća
atentat,om	a,ten,ta,tom
đinđić,a	đin,đi,ća
ubistvo,m	ubi,stvom
zoran,a	zorana
ultranacionalist,e	ultra,naciona,liste
šešelj,a	šeše,lja
đinđićev,o	đin,đi,će,vo
luković,a	lu,kovića
osumnjičen,og	osumnji,čenog
paravojni,h	para,vojnih
slobodan,a	slobod,ana
milošević,a	miloše,vića
luković,u	lu,kovi,ću
optužen,ima	optu,žen,ima
velik,ih	velikih
razmer,a	raz,mera
paravojni,m	para,voj,nim
struktura,ma	struk,turama
formiran,im	formi,ranim
rat,ova	rat,ova
komandant,a	koman,dan,ta
jso,-a	j,so,-,a
automobil,a	automobila
reformist,a	re,formi,sta
nacionalist,e	naciona,liste
tomić,a	tomi,ća
rade,ta	ra,de,ta
bulatović,a	b,ula,t,ovića
savetnik,a	savet,nika
atentat,a	a,ten,tata
slučaj,a	slučaja
đinđićev,e	đin,đi,ćeve
suđenje,m	su,đenjem
propust,a	propu,sta
sekulić,a	se,ku,lića
milan,a	milana
miljojković,a	mil,jo,j,kovića
bekim,a	b,ek,ima
fehmiju,a	fe,h,mi,ju,a
istaknut,u	istaknu,tu
stan,u	stanu
glumčev,a	glum,čeva
prizren,a	pri,z,rena
ljubitelj,i	ljubi,telji
fehmiju,u	fe,h,mi,ju,u
film,ove	film,ove
narod,ima	na,rodi,ma
gvozden,e	g,voz,dene
blok,a	bloka
naj,čuven,ijih	naj,ču,ven,i,jih
pijan,i	pi,jani
go,lim	go,lim
fehmijuov,e	fe,h,mi,ju,ove
režiser,ima	reži,se,rima
film,ovima	film,ovima
pad,u	padu
poznat,a	poznata
visok,oj	viso,koj
smrtnost,i	smrt,nosti
pad,om	pa,dom
živorođeni,h	živo,ro,đenih
društven,ih	društvenih
razvod,om	raz,vodom
brak,a	braka
karijera,ma	karije,rama
sociodemografski,m	soci,ode,mo,graf,skim
abortus,ima	a,bor,tu,sima
instat,-a	in,sta,t,-,a
neprijavljen,e	ne,prijav,ljene
abortus,e	a,bor,tu,se
vezan,i	vezani
mlad,im	mladi,m
dete,tu	detetu
abortus,i	a,bor,tu,si
dervišijev,im	der,vi,ši,je,vim
roditelj,i	roditelji
nov,ije	novije
sused,i	su,sedi
balkanski,m	balkan,skim
berza,ma	ber,zama
milion,e	mili,one
ktv,-u	k,tv,-,u
posmatrač,i	posmatra,či
vladin,i	vla,d,ini
predostrožnost,i	predo,stro,žnosti
nejak,e	ne,jake
žarkuov,o	ž,ar,ku,ovo
insajt,u	in,sajtu
emigrant,i	emi,gran,ti
banka,ma	bankama
kolaps,a	kola,psa
rast,a	rasta
godišnji,m	godiš,njim
rast,om	rastom
institut,om	institu,tom
privremen,o	privremeno
srednji,h	srednjih
privremen,og	privremen,og
nezaposlen,ima	ne,zaposlenima
institucija,ma	institucijama
enver,a	en,vera
diktatorski,m	dikta,tor,skim
režim,om	reži,mom
nadolazeći,h	na,dola,ze,ćih
vladar,a	vla,dara
naj,izolovan,ijom	naj,izol,ov,ani,jom
prostor,a	prostora
list,a	lista
karajev,i	kara,jevi
diktator,u	dikta,toru
bogat,iji	boga,tiji
identitet,u	identi,tetu
brz,og	brz,og
problem,i	problemi
noga,ma	nogama
sam,i	sami
prepreka,ma	prepre,kama
tvrdoglav,i	tvrdo,glavi
džejms,a	dže,jm,sa
bejker,a	be,j,ke,ra
posed,a	pose,da
zaplenjen,ih	za,plen,jenih
manjina,ma	manj,inama
glasnik,u	gla,sniku
dom,ove	dom,ove
nezbrinut,u	nez,brinu,tu
različitost,i	različi,tosti
hrišćanski,h	hrišćan,skih
jevrejski,h	jevre,jskih
zahtev,e	zahteve
turski,m	tur,skim
rok,u	roku
fondacija,ma	fon,da,cijama
odvojen,oj	odvo,jenoj
manjinski,m	manj,inskim
grupa,ma	grupama
manjinski,h	manj,inskih
amandman,ima	amand,manima
treći,m	tre,ćim
strana,ma	stranama
nerešen,o	nere,šeno
ustav,u	ustav,u
ran,ijih	ranijih
mahčupjan,u	ma,h,ču,p,janu
nemusliman,i	ne,musli,mani
decenija,ma	decenijama
smer,u	smeru
imovinski,h	imov,inskih
nemuslimanski,h	ne,musliman,skih
trening,u	tren,ingu
stadion,u	stadi,onu
meč,a	meča
tim,a	tima
bolest,i	bolesti
osnivač,a	osni,vača
pozorišni,h	pozori,šnih
rovinj,u	r,ov,in,ju
salon,u	s,alo,nu
rad,ovi	radovi
luksemburg,a	l,uk,se,m,bur,ga
pakistan,a	pak,ist,ana
višegrad,u	vi,še,gradu
ujedinjen,e	ujedin,jene
krdžali,ju	kr,dža,liju
seminar,a	semina,ra
renomiran,i	ren,o,mi,rani
ekspert,i	eksper,ti
koncert,e	koncer,te
poznati,h	poznatih
kompozitor,a	kompozi,tora
liponenov,om	li,ponen,ovom
masmedij,a	ma,s,medija
prav,u	pravu
interes,i	interesi
interes,ima	interesima
prednost,i	prednosti
čest,a	če,sta
vlasnik,e	vlasni,ke
direktor,e	direk,tore
urednik,a	ured,nika
sudski,h	sud,skih
postupak,a	postupaka
liponenov,e	li,ponen,ove
uvodnik,u	uvod,niku
liponen,a	li,pon,ena
list,ova	listova
zajednica,ma	zajednicama
motivisan,a	motivi,sana
opštinski,h	opšt,inskih
prijem,ima	prije,mima
događaj,e	događaje
haos,a	ha,osa
sprovođenje,m	sprovo,đenjem
ustav,om	ustav,om
aparat,a	aparata
frižider,a	fri,ži,dera
zamrzivač,a	zamr,zi,vača
budžetski,m	budže,tskim
suficit,om	su,fici,tom
deficit,om	defici,tom
spor,ijeg	spo,ri,jeg
ulog,a	uloga
stran,ih	stranih
muzičar,a	muzi,čara
ijan,a	i,jana
braun,a	bra,una
planiran,a	plani,rana
masakr,a	masa,k,ra
exit,-u	e,x,it,-,u
sad,u	sadu
posetilac,a	posetilaca
izvođač,a	izvođa,ča
akreditovan,ih	akredi,t,ovanih
izveštač,i	izvešta,či
bbc,-a	bbc,-,a
mtv,-a	m,tv,-,a
ljubitelj,e	ljubi,telje
i,'m	i,',m
izvođač,ima	izvođa,čima
andervorld,a	ander,vor,l,da
posleratni,h	posle,ratnih
naj,poznat,iji	najpozna,tiji
koren,e	ko,rene
opis,a	opi,sa
ovogodišnji,h	ovo,godišnjih
glastonberi,ja	gla,sto,n,be,rija
društven,im	društvenim
tih,u	ti,hu
tekst,u	tekstu
napad,i	napa,di
exit,-a	e,x,it,-,a
pominjanje,m	pomin,janjem
masakr,u	masa,k,ru
mnoštvo,m	mno,št,vom
hrvat,ima	hr,va,tima
drugi,ma	drugima
rat,u	ratu
sad,a	sada
petrovaradin,u	petr,ova,rad,inu
nasmejan,a	na,sme,jana
festival,i	festi,vali
društven,a	društvena
hašim,om	ha,ši,mom
tači,jem	ta,čijem
diplomatski,m	diplo,matskim
hašim,u	ha,ši,mu
tači,ju	ta,čiju
jakup,om	ja,ku,pom
krasnići,jem	kra,sni,ći,jem
zamenik,om	zameni,kom
leri,jem	le,ri,jem
rosin,om	ros,inom
rumunski,m	rumun,skim
adrijan,om	ad,rijan,om
čorojanu,om	č,oro,janu,om
hose,a	h,ose,a
luis,a	lu,i,sa
rodrigez,a	rod,ri,ge,za
zapater,a	za,pa,tera
gost,iju	gostiju
nemački,m	nema,čkim
štajnmajer,om	š,taj,n,ma,je,rom
brz,o	brzo
potpun,e	potpune
guverner,a	gu,ver,nera
delegat,a	delega,ta
vodeći,h	vode,ćih
žan,om	ž,anom
lemijer,om	le,mije,rom
investitor,ima	investi,torima
očekivan,og	očeki,vanog
biznis,om	bizni,som
potpredsednik,om	pot,predsednikom
miroljub,om	miro,lju,bom
labus,om	la,bu,som
projekt,ima	projektima
ton,u	tonu
potpun,im	potpu,nim
uspeh,om	uspe,hom
rat,a	rata
narod,i	naro,di
lak,ši	lak,ši
kongres,u	kongre,su
kofi,ja	ko,fija
anan,a	an,ana
prihvatljiv,og	prihvatlji,vog
demokrata,ma	demokra,tama
priznat,i	priznati
udar,a	udara
skor,o	skoro
rezolucija,ma	rezolu,cijama
vremenski,m	vremenskim
okvir,om	okvi,rom
redžep,a	re,dže,pa
tajip,a	ta,ji,pa
erdogan,a	er,do,gana
aerodrom,i	aerodro,mi
brod,ove	bro,dove
avion,e	avi,one
obim,a	obima
sali,jem	sa,li,jem
žestok,u	že,sto,ku
kritičar,i	kritič,ari
edi,ja	e,dija
problem,om	proble,mom
pojedinac,a	pojedinaca
zakon,om	zakonom
neuobičajen,o	neu,običa,jeno
otkaz,a	otka,za
osoba,ma	osobama
status,om	statu,som
službenik,a	službenika
njen,im	njenim
strog,om	stro,gom
faktor,om	fak,torom
visok,e	visoke
ostali,m	ostalim
nosilac,a	nosi,laca
monopol,ima	mono,poli,ma
višegodišnji,h	više,godišnjih
monopol,a	mono,pola
pogodnost,i	pogod,nosti
monopolist,i	mono,poli,sti
biznismen,a	bizni,s,mena
opterećen,i	optere,ćeni
cena,ma	cenama
monopol,i	mono,poli
kartel,i	kar,te,li
monopolistički,h	mono,poli,stičkih
proizvođač,e	proizvođa,če
domaći,h	domaćih
mmf,-a	mm,f,-,a
monopol,e	mono,po,le
prehramben,oj	prehramb,enoj
mali,m	malim
prihod,ima	prihod,ima
nezaposlen,i	ne,zaposleni
kartel,e	kar,te,le
reč,i	reči
neobuzdan,a	ne,ob,uz,dana
nezakonit,o	nezakoni,to
stan,a	stana
unuk,a	unu,ka
intelektualac,a	intelektu,alaca
organizovan,a	organizovana
dokument,u	doku,mentu
civil,a	ci,vila
saopštenje,m	saopšt,enjem
penzionisan,i	penzi,oni,sani
pridruživanje,m	pridru,ži,vanjem
saveznik,a	savez,nika
ostali,ma	osta,lima
mek,i	me,ki
star,e	stare
rat,ovi	rat,ovi
raspad,a	raspada
jednak,i	jedna,ki
klimav,im	kli,m,av,im
temelj,ima	teme,ljima
prihod,e	prihode
marković,em	mar,kovi,ćem
blok,u	blo,ku
diplomiran,i	diplomi,rani
bogat,i	boga,ti
most,a	mosta
mihail,u	miha,ilu
jovović,u	j,ov,oviću
urednik,u	ured,niku
vijest,i	vi,jesti
glava,ma	glav,ama
komunistički,m	komuni,stičkim
vreme,nima	vremenima
neuspeh,a	ne,uspeha
izazov,i	izaz,ovi
nedelja,ma	nede,ljama
stvarnost,i	stvarnosti
loš,e	loše
slab,a	sla,ba
nezaposlenost,i	nezaposlenosti
novčan,e	novč,ane
slab,om	sla,bom
stručnost,i	stru,čnosti
ran,ijim	ra,nijim
izveštaj,em	izvešta,jem
euleks,-om	eu,le,ks,-,om
mustaf,a	mu,sta,fa
nov,o	novo
transparens,i	tran,spa,ren,si
internešenel,a	interne,šen,ela
naj,nov,ije	najnovi,je
severni,m	sever,nim
sastav,u	sastavu
bamir,om	ba,mi,rom
topi,jem	to,pi,jem
američki,m	ameri,čkim
ambasador,om	ambasa,do,rom
džon,om	dž,onom
viters,om	vi,ter,som
pravosudni,m	pravosud,nim
izborni,m	izbor,nim
