jeremić,a	jere,mi,ća
kontinuitet,a	kontinui,teta
njen,og	njenog
mandat,a	mandata
organizacija,ma	organizacijama
bugarski,h	bugar,skih
mastriht,u	ma,stri,h,tu
određen,im	određenim
broj,em	brojem
beč,u	be,ču
ministar,a	mini,stara
nato,-a	nato,-,a
vankuver,a	van,ku,vera
vladivostok,a	vladi,vo,sto,ka
dokument,ima	dokumentima
obračun,u	obraču,nu
pretnja,ma	pret,njama
sigurnost,i	sigurnosti
materijal,ima	materijalima
format,u	forma,tu
zločin,a	zločina
prevremen,i	pre,vremeni
tržišni,h	trži,šnih
postignut,og	postignu,tog
održiv,og	održivog
konflikt,a	konfli,kta
jap,a	japa
hop,a	ho,pa
šefer,a	še,fera
pasi,ja	pa,sija
širok,e	širo,ke
plakat,a	pla,kata
birač,a	bira,ča
kandidat,e	kandida,te
kandidat,i	kandida,ti
skup,ove	sku,pove
plav,o	pla,vo
crven,e	crvene
pobednik,u	pobe,dniku
širok,a	širo,ka
pokazatelj,a	pokazatelja
žestok,a	že,sto,ka
bilbord,e	bi,l,bor,de
podeljen,e	pode,ljene
crven,o	crveno
plav,oj	pla,voj
crven,oj	crve,noj
formulisan,a	formulisa,na
hdz,-u	hd,z,-,u
pomoćnik,a	pomoć,nika
sanader,a	sa,na,dera
jurčić,u	j,ur,či,ću
donator,a	dona,tora
izborni,h	izbor,nih
poslanički,h	posla,ni,čkih
azil,u	azi,lu
sudan,a	su,dana
veroispovest,i	vero,ispo,vesti
privatnost,i	privatnosti
katić,a	ka,tića
pasoš,em	paso,šem
zdravstven,u	zdravstvenu
pretendent,e	prete,nde,nte
prvi,m	prvim
priznavanje,m	prizna,vanjem
sistem,a	sistema
zahtev,a	zahteva
podneti,h	podne,tih
bangladeš,a	ban,gla,de,ša
sadam,a	sa,dama
husein,a	hu,se,ina
aerodrom,e	aerodro,me
moguć,om	moguć,om
moguć,im	mogu,ćim
odlaganje,m	od,laga,njem
govor,u	govoru
helsinki,ju	hel,sin,ki,ju
brisel,om	brise,lom
avion,ima	avio,nima
kiparski,h	ki,par,skih
linija,ma	linijama
puč,a	pu,ča
spor,ih	spo,ri,h
moguć,i	mogući
sam,im	samim
stav,u	stavu
naftovod,a	naf,tovo,da
složen,og	slože,nog
projekt,a	projekta
ruski,m	ru,skim
viktor,om	vi,ktorom
kristenko,m	kri,sten,kom
iznos,u	iznosu
sirov,a	si,rova
aleksandropolis,a	aleksand,ro,po,lisa
egej,a	e,ge,ja
burgas,a	bur,ga,sa
kapacitet,a	kapaciteta
naftovod,om	naf,tovo,dom
moreuz,a	more,u,za
jeftin,ije	jefti,nije
barel,a	ba,rela
sirov,e	siro,ve
vlasnički,h	vlasni,čkih
tehnički,h	tehničkih
ekonomski,h	ekonomskih
parametar,a	parametara
predložen,og	predlože,nog
naj,isplativ,ija	naji,s,pla,ti,vija
uslov,i	uslovi
zainteresovan,e	zainteresova,ne
koordinator,a	koordina,tora
partner,ima	partnerima
skok,u	sko,ku
skok,a	sko,ka
otvoren,om	otvorenom
film,ovi	fil,movi
karneval,ima	ka,rne,valima
ritual,ima	ri,tua,lima
održan,im	održa,nim
patras,u	pa,tra,su
izvođač,i	izvođa,či
japan,a	japa,na
festival,a	festivala
režiser,a	reži,sera
semih,a	se,mi,ha
kaplanoglu,a	ka,pla,nog,lu,a
nirnberg,u	ni,rn,ber,gu
festival,u	festi,valu
dugometražni,h	dugo,metra,žnih
igrani,h	igra,nih
svoj,om	svojom
smrt,i	smrti
heroj,a	hero,ja
adem,a	a,de,ma
jašari,ja	ja,ša,rija
događaj,a	događaja
organizovan,og	organizovanog
pravosudni,h	pravosu,dnih
spremnost,i	sprem,nosti
određen,og	određenog
januar,u	januaru
konkurentnost,i	konkurentnosti
ekspertski,h	ekspert,skih
meglen,om	me,gle,nom
kunev,om	ku,ne,vom
sergej,em	serge,jem
stanišev,im	stani,še,vim
broj,a	broja
evropski,h	evropskih
fond,ova	fondova
budućnost,i	budućnosti
komesar,om	kome,sa,rom
oli,jem	oli,jem
planiran,im	plani,ranim
strukturni,m	struktu,rnim
niz,u	nizu
bombaški,h	bo,mba,ških
mlad,ima	mladi,ma
slogan,a	slo,gana
pano,ima	pa,no,ima
spot,ovi	spo,tovi
poznat,e	poznate
sve,ga	svega
podmladak,a	pod,mla,da,ka
mlad,i	mladi
zabrinut,i	zabri,nuti
etički,h	eti,čkih
organizovan,i	organizovani
analitičar,a	analiti,čara
rezultat,e	rezultate
poster,a	po,stera
spot,a	spo,ta
zainteresovan,i	zainteresovani
život,a	života
ideal,a	ide,ala
politički,m	političkim
igrač,i	igrači
izlaznost,i	izlaz,nosti
rezultat,ima	rezultatima
moguć,a	moguća
društven,u	društvenu
njihov,i	njihovi
profil,e	profi,le
fejsbuk,u	fejsbu,ku
internet,a	interneta
zapadni,m	zapad,nim
demokratija,ma	demokra,ti,jama
žestok,e	že,sto,ke
socijaldemokrat,a	socija,lde,mokra,ta
opozicioni,h	opozi,cionih
kabinet,a	kabine,ta
stvaranje,m	stva,ranjem
predstojeći,h	predstoje,ćih
uzor,u	u,zoru
političar,e	politi,čare
vasić,a	vasi,ća
portal,u	portalu
blog,ove	blo,gove
bloger,ima	blo,ge,rima
progres,a	progre,sa
snsd,-a	sns,d,-,a
post,ove	posto,ve
blog,u	blo,gu
događaj,ima	događajima
protivnik,e	protiv,nike
rad,u	radu
rasprostranjen,ija	rasprostra,nje,nija
frekventnost,i	frek,ve,ntnosti
mobing,a	mobi,nga
izraz,a	izraza
učestalost,i	učestalosti
oblik,a	oblika
loš,ih	lo,ših
kolega,ma	kolegama
statut,ima	statu,tima
spor,ovi	spo,rovi
poslodavac,a	posloda,vaca
zaposlen,ih	zaposlenih
proces,a	procesa
zavisnost,i	zavisnosti
prekršaj,a	prekrša,ja
papir,u	papi,ru
obazriv,iji	oba,z,ri,viji
propis,a	propisa
prelaz,u	prela,zu
kosovo,m	koso,vom
naj,nov,ijim	najnovi,jim
akt,i	ak,ti
tamošnji,h	tamo,šnjih
odnos,ima	odnosima
barikada,ma	ba,ri,kada,ma
neprihvatljiv,o	neprihvat,ljivo
naj,nov,ijem	najnovi,jem
događaj,u	događaju
interes,e	interese
vaš,em	vašem
akter,i	ak,teri
dijalog,u	dija,logu
instrument,om	instru,mentom
uspeh,a	uspeha
interes,u	interesu
čitav,e	čitave
tehnički,m	tehni,čkim
kontekst,u	kontekstu
čitav,og	čitavog
naj,nov,iji	najnovi,ji
događaj,i	događaji
neprihvatljiv,i	neprihvat,ljivi
proces,e	procese
njihov,ih	njihovih
prioritet,e	priori,tete
krajnji,h	kraj,njih
rok,ova	ro,kova
njen,om	njenom
predlog,u	pred,logu
status,u	statusu
nadziran,u	nad,zi,ranu
stanovnik,a	stanovnika
ambasador,ima	ambasa,do,rima
predlog,e	predloge
muškarac,a	muškaraca
tribjun,a	tri,b,ju,na
agim,a	a,gi,ma
čeku,a	če,ku,a
prijatelj,i	prijatelji
nerešen,og	nere,šenog
narod,a	naroda
duvan,a	du,vana
radnik,e	radnike
ugovor,u	ugovoru
bulgartabak,a	bu,l,ga,rta,ba,ka
komentar,u	komenta,ru
sindikat,a	sindikata
radnik,a	radnika
bulgartabakov,e	bu,l,ga,rta,ba,kove
blagojevgrad,u	b,lago,jev,gradu
pleven,u	p,le,ve,nu
delatnost,i	delatnosti
filijala,ma	fi,lija,lama
invest,a	in,ve,sta
holding,a	ho,l,din,ga
vlasnik,a	vlasnika
konkurs,a	konkursa
ran,ijoj	ra,ni,joj
finansijski,m	finansijskim
plan,ovima	planovima
sam,a	sama
kredit,a	kredita
autoput,a	auto,puta
suveren,i	suvereni
koridor,a	kori,dora
segment,a	segmenta
dug,og	dugo,g
jugoistok,u	jugoisto,ku
naplatni,h	napla,tnih
ugovor,a	ugovora
investicija,ma	investi,cijama
tunel,a	tu,nela
most,ova	mo,stova
nadvožnjak,a	nad,vo,žnja,ka
podvožnjak,a	pod,vo,žnja,ka
prelaz,a	prelaza
tabanovci,ma	ta,ba,nov,cima
negotin,u	ne,go,tinu
konsultant,a	konsulta,nta
obelodanjen,im	obe,loda,njenim
tender,u	tende,ru
konzorcijum,a	kon,zor,ciju,ma
investitor,a	investitora
hotel,a	hotela
turistički,h	turističkih
put,eva	puteva
odsek,a	odse,ka
potpisivanje,m	potpisi,vanjem
oblik,u	obliku
budžet,a	budžeta
kompanija,ma	kompanijama
porodica,ma	porodicama
ideja,ma	ide,jama
njihov,oj	njihovoj
magazin,a	maga,zina
niko,ga	nikoga
ženski,h	že,nskih
rukovodilac,a	rukovodi,laca
sopstven,i	sopstveni
kredit,ima	kredi,tima
fond,a	fonda
bankarski,m	bankar,skim
trenutak,a	trenu,taka
noć,i	noći
kredit,e	kredite
moj,oj	mojoj
poštovanje,m	pošto,vanjem
džentlmen,i	dže,nt,l,meni
istrajnost,i	istra,j,nosti
usluga,ma	uslugama
tekstil,a	teksti,la
konsalting,a	kon,sal,tin,ga
žena,ma	ženama
prosek,a	proseka
program,i	programi
indikator,i	indika,tori
broj,u	broju
biznis,u	bizni,su
retki,h	retkih
šmatko,m	š,ma,tkom
rosatom,a	ro,sa,toma
jedinstven,u	jedinstve,nu
žestok,i	že,sto,ki
izvor,e	izvore
naš,a	naša
odbor,a	odbora
energetski,h	energe,tskih
objekt,om	obje,ktom
visok,im	visokim
seizmički,m	se,iz,mi,čkim
aktivnost,ima	aktivnostima
verski,h	ver,skih
spomenik,a	spomenika
izaslanik,a	iza,sla,nika
fatmir,om	fa,t,mi,rom
sejdiu,om	se,j,di,u,om
verski,m	ver,skim
zona,ma	zonama
spomenik,e	spome,nike
zaštićen,e	zašti,ćene
mnogi,h	mnogih
detalj,a	detalja
stav,ovima	stavovima
pokušaj,ima	pokuša,jima
lider,e	li,dere
održiv,i	održi,vi
rohanov,a	ro,ha,nova
marti,ja	mar,tija
ahtisari,ja	a,h,tisa,rija
albanac,a	albanaca
ishod,a	ishoda
vašington,a	vašing,tona
prav,i	pravi
urban,a	urba,na
partner,i	partneri
gledalac,a	gleda,laca
evroimidž,a	evro,i,mi,dža
mlad,om	mla,dom
doktor,u	do,ktoru
gotov,a	go,tova
distributer,a	distribu,tera
glumac,a	gluma,ca
naj,poznat,ijih	najpozna,tijih
snimatelj,a	snima,telja
režiser,om	reži,se,rom
kristof,om	kri,sto,f,om
kišlovski,m	ki,šlo,v,skim
avijatičar,a	a,vija,ti,čara
film,om	fil,mom
lav,a	la,va
novost,i	novosti
dnevnik,a	dne,vnika
buls,e	bu,l,se
kings,e	ki,ng,se
kapital,a	kapitala
divčev,e	di,v,čeve
dnevnik,u	dnevni,ku
kapital,u	kapita,lu
divčev,oj	di,v,če,voj
mali,h	malih
deoničar,a	deo,ni,čara
nepošten,o	nepo,šteno
deoničar,ima	deo,ni,čarima
tajkun,i	taj,ku,ni
povećanje,m	povećanjem
uobičajen,o	uobičajeno
različit,e	različite
deoničar,e	deo,ni,čare
proizvođač,a	proizvođača
naj,prodavan,ije	naj,proda,va,nije
lobist,e	lo,bi,ste
sedište,m	sedište,m
priprema,ma	priprema,ma
španski,h	špa,nskih
španski,m	špa,nskim
luis,om	lu,i,som
rodrigez,om	rod,ri,ge,zom
zapatero,m	zapa,te,rom
madrid,u	ma,dri,du
oblast,ima	oblastima
simeon,om	si,me,o,nom
sastanak,a	sasta,naka
stol,om	sto,lom
mogućnost,ima	mogućnostima
stol,u	sto,lu
društven,og	društvenog
rezultat,a	rezultata
red,u	redu
stav,ova	stavova
svečanost,i	sveča,nosti
madrid,a	ma,dri,da
priznanje,m	prizna,njem
doprinos,a	doprinosa
mladost,i	mlado,sti
dom,a	doma
egzil,u	eg,zi,lu
department,a	de,part,menta
podsekretar,om	podse,kreta,rom
marko,m	mar,kom
grosman,om	gro,sma,nom
evroatlantski,h	evro,at,la,nt,skih
moguć,e	moguće
musliman,a	musli,mana
vojislav,om	voji,sla,vom
boris,om	bori,som
tadić,em	ta,di,ćem
svetozar,om	sveto,za,rom
marović,em	ma,rovi,ćem
vuk,om	vu,kom
drašković,em	dra,škovi,ćem
mladić,a	mladi,ća
nalog,a	naloga
bivši,h	bivši,h
vlastimir,a	vla,sti,mira
đorđević,a	đorđe,vića
sreten,a	sre,tena
pavković,a	pav,kovića
vladimir,a	vladimira
lazarević,a	lazare,vića
moć,i	moći
grosman,u	gro,sma,nu
posvećenost,i	posveće,nosti
optužen,og	optu,ženog
naj,tražen,ija	naj,tra,že,nija
osumnjičen,a	osumnji,čena
mksj,-a	m,ks,j,-,a
pun,a	puna
plan,ove	planove
jadran,u	ja,dra,nu
prijateljski,h	prijatelj,skih
otvoren,ih	otvore,nih
dve,ju	dve,ju
slovenački,m	slovena,čkim
anton,om	anto,nom
rop,om	ro,pom
novembarski,m	novembar,skim
februar,u	febru,aru
datum,a	datuma
berlin,u	ber,linu
irski,m	i,r,skim
berti,jem	ber,ti,jem
ahern,om	a,her,nom
šestomesečni,m	šesto,mese,čnim
mandat,om	manda,tom
ginter,om	g,inte,rom
ferhojgen,om	fer,ho,j,ge,nom
povratnik,a	povra,tnika
raseljen,ih	rase,ljenih
pogođen,im	pogo,đenim
fotograf,i	fotografi
fotograf,a	foto,gra,fa
rad,ove	radove
štampan,im	štampa,nim
tvoj,im	t,voji,m
tomislav,u	tomi,sla,vu
georgijev,u	geor,gije,vu
arhus,u	ar,hu,su
prvak,a	prva,ka
parter,u	par,teru
preskok,u	pre,sko,ku
kozlić,a	koz,lića
vežba,ma	ve,žbama
razboj,u	raz,bo,ju
srebrn,u	sre,br,nu
bronzan,u	bron,za,nu
višeboj,u	više,bo,ju
ostali,h	ostalih
učesnik,a	učesnika
karika,ma	ka,ri,kama
planina,ma	plani,nama
zemljotres,u	zemljo,tre,su
poreklo,m	poreklom
naj,talentovan,ijih	naj,ta,len,tova,nijih
festivalski,h	festival,skih
florijan,a	f,lo,rija,na
donersmark,a	do,ner,sma,rka
žiri,ja	ži,rija
porumboju,a	po,ru,mbo,ju,a
bukurešt,a	bu,ku,re,šta
biometrijski,m	bio,metri,jskim
karta,ma	karta,ma
crnogorski,m	crnogor,skim
milan,om	mila,nom
roćen,om	ro,ćenom
sporazum,i	sporazu,mi
pun,o	puno
domen,ima	dome,nima
turist,ima	turisti,ma
ulcinj,u	u,lci,nju
pasoš,a	paso,ša
moj,a	moja
moj,u	moju
pun,e	pune
gaš,i	ga,ši
sporazum,om	sporazu,mom
godina,ma	godinama
migracija,ma	migra,cijama
putni,h	pu,tnih
sporazum,ima	sporazu,mima
moguć,em	mogu,ćem
sporazum,u	sporazu,mu
datum,e	datu,me
kandidat,ima	kandida,tima
država,ma	državama
seminar,u	semina,ru
dokument,e	doku,mente
slab,og	sla,bog
privilegovan,o	privile,gova,no
gol,ove	go,love
živ,lji	ži,vlji
stav,ovi	stavovi
dobrosusedski,h	dobro,su,sed,skih
stacioniran,ih	sta,cioni,ranih
umor,u	umo,ru
samit,om	sami,tom
usvajanje,m	usvaja,njem
njen,a	njena
različit,im	različitim
određivanje,m	određi,vanjem
reper,a	re,pera
reformski,m	re,form,skim
poduhvat,ima	podu,hva,tima
jezik,u	jeziku
tekst,a	teksta
majkrosoftov,e	maj,kro,so,f,tove
program,e	programe
naziv,a	naziva
softverski,h	softver,skih
element,i	elementi
meni,ja	me,nija
prevod,a	prevo,da
poznat,im	pozna,tim
lingvist,ima	lingvi,stima
kompjuter,a	kompju,tera
majkrosoft,a	maj,kro,so,fta
makedonac,a	makedo,naca
korisnik,a	korisnika
majkrosoftov,ih	maj,kro,so,f,to,vih
piratski,h	pi,ra,tskih
softver,a	softvera
licencirani,h	lice,nci,ranih
autorski,h	autor,skih
nasleđe,m	nasleđe,m
ratni,h	ratnih
jedinstven,og	jedinstve,nog
mehanizam,a	mehanizama
chp,-a	c,hp,-,a
vid,ova	vi,dova
činjenica,ma	činje,nicama
protokol,u	protoko,lu
prošlost,i	prošlosti
usklađen,ih	uskla,đenih
ratni,m	ra,tnim
zločin,ima	zloči,nima
bilten,u	bi,l,te,nu
mirsad,a	mir,sada
document,e	do,cu,mente
određen,i	određeni
osumnjičen,ima	osumnji,če,nima
zločin,i	zlo,čini
neorganizovan,ih	neorga,ni,zovanih
određen,ih	određenih
neodređen,ih	neodre,đenih
student,e	studente
aktivist,e	aktivi,ste
tema,ma	temama
ešdaunov,a	e,š,da,u,nova
pedi,ja	pe,dija
ešdaun,a	e,š,da,una
suštinski,m	sušti,nskim
princip,ima	principima
dogovor,u	dogovo,ru
izvodljivost,i	izvod,ljivosti
sds,-a	s,ds,-,a
policijski,m	polici,jskim
neprihvatljiv,e	neprihvat,ljive
potpun,i	potpu,ni
prosperitet,a	pro,speri,teta
izgled,i	iz,gle,di
entitet,a	entiteta
zasnovan,ih	zasno,vanih
dragan,a	dragana
čović,a	čo,vića
milorad,a	milo,rada
dodik,a	do,dika
napor,ima	napo,rima
avaz,u	a,va,zu
kapacitet,om	kapaci,tetom
brčko,m	br,čkom
fikret,a	fi,kreta
hasanović,a	ha,sa,novića
pan,a	pa,na
panić,a	pa,ni,ća
atentat,om	ate,nta,tom
đinđić,a	đin,đi,ća
ubistvo,m	ubi,stvom
zoran,a	zorana
ultranacionalist,e	ultra,na,ciona,li,ste
šešelj,a	šeše,lja
đinđićev,o	đin,đi,će,vo
luković,a	lu,kovića
osumnjičen,og	osumnji,čenog
paravojni,h	para,voj,nih
slobodan,a	slobo,dana
milošević,a	miloševića
luković,u	lu,ković,u
optužen,ima	optu,že,nima
velik,ih	velikih
razmer,a	raz,mera
paravojni,m	para,voj,nim
struktura,ma	struktu,rama
formiran,im	formi,ranim
rat,ova	ra,tova
komandant,a	komanda,nta
jso,-a	j,so,-,a
automobil,a	automobila
reformist,a	reformi,sta
nacionalist,e	naciona,li,ste
tomić,a	tomi,ća
rade,ta	rade,ta
bulatović,a	bu,la,to,vića
savetnik,a	savet,nika
atentat,a	ate,nta,ta
slučaj,a	slučaja
đinđićev,e	đin,đi,ćeve
suđenje,m	su,đenjem
propust,a	propu,sta
sekulić,a	se,ku,lića
milan,a	milana
miljojković,a	mi,l,joj,kovića
bekim,a	be,ki,ma
fehmiju,a	fe,h,miju,a
istaknut,u	istaknu,tu
stan,u	stanu
glumčev,a	glu,m,čeva
prizren,a	pri,z,rena
ljubitelj,i	ljubi,telji
fehmiju,u	fe,h,miju,u
film,ove	fil,move
narod,ima	narodi,ma
gvozden,e	gvo,zde,ne
blok,a	bloka
naj,čuven,ijih	naj,ču,ve,nijih
pijan,i	pija,ni
go,lim	go,lim
fehmijuov,e	fe,h,miju,ove
režiser,ima	reži,se,rima
film,ovima	fil,movima
pad,u	pa,du
poznat,a	poznata
visok,oj	visoko,j
smrtnost,i	smrt,nosti
pad,om	pa,dom
živorođeni,h	živo,ro,đenih
društven,ih	društvenih
razvod,om	razvo,dom
brak,a	braka
karijera,ma	karije,rama
sociodemografski,m	socio,demo,graf,skim
abortus,ima	a,bor,tu,sima
instat,-a	in,st,at,-,a
neprijavljen,e	neprija,vljene
abortus,e	a,bor,tu,se
vezan,i	vezani
mlad,im	mladi,m
dete,tu	detetu
abortus,i	a,bor,tu,si
dervišijev,im	d,er,vi,ši,je,vim
roditelj,i	roditelji
nov,ije	novije
sused,i	suse,di
balkanski,m	balka,nskim
berza,ma	ber,zama
milion,e	mili,one
ktv,-u	k,tv,-,u
posmatrač,i	posmatra,či
vladin,i	vla,dini
predostrožnost,i	predo,stro,žnosti
nejak,e	neja,ke
žarkuov,o	ž,ar,ku,ovo
insajt,u	insaj,tu
emigrant,i	emi,gra,nti
banka,ma	bankama
kolaps,a	kola,psa
rast,a	rasta
godišnji,m	godi,šnjim
rast,om	ra,stom
institut,om	institu,tom
privremen,o	privremeno
srednji,h	srednjih
privremen,og	privreme,nog
nezaposlen,ima	nezaposle,nima
institucija,ma	institucijama
enver,a	en,vera
diktatorski,m	dikta,tor,skim
režim,om	reži,mom
nadolazeći,h	nado,laze,ćih
vladar,a	vlada,ra
naj,izolovan,ijom	naji,zo,lo,vani,jom
prostor,a	prostora
list,a	lista
karajev,i	kara,jevi
diktator,u	dikta,toru
bogat,iji	boga,tiji
identitet,u	identi,tetu
brz,og	brzo,g
problem,i	problemi
noga,ma	nogama
sam,i	sami
prepreka,ma	prepre,kama
tvrdoglav,i	tvrdo,gla,vi
džejms,a	dže,jm,sa
bejker,a	be,jke,ra
posed,a	pose,da
zaplenjen,ih	zaple,njenih
manjina,ma	manji,nama
glasnik,u	gla,sniku
dom,ove	do,move
nezbrinut,u	nez,bri,nu,tu
različitost,i	različi,tosti
hrišćanski,h	hrišća,nskih
jevrejski,h	jevre,jskih
zahtev,e	zahteve
turski,m	tur,skim
rok,u	roku
fondacija,ma	fonda,cijama
odvojen,oj	odvoje,noj
manjinski,m	manji,nskim
grupa,ma	grupama
manjinski,h	manji,nskih
amandman,ima	amand,manima
treći,m	tre,ćim
strana,ma	stranama
nerešen,o	nere,šeno
ustav,u	usta,vu
ran,ijih	ra,nijih
mahčupjan,u	ma,h,ču,p,janu
nemusliman,i	ne,mu,sli,mani
decenija,ma	decenijama
smer,u	smeru
imovinski,h	imovi,nskih
nemuslimanski,h	ne,mu,sli,man,skih
trening,u	trenin,gu
stadion,u	stadio,nu
meč,a	meča
tim,a	tima
bolest,i	bolesti
osnivač,a	osniva,ča
pozorišni,h	pozori,šnih
rovinj,u	ro,vi,nju
salon,u	sa,lo,nu
rad,ovi	radovi
luksemburg,a	lu,kse,mbu,rga
pakistan,a	pa,ki,sta,na
višegrad,u	više,gradu
ujedinjen,e	ujedi,njene
krdžali,ju	k,rd,ža,liju
seminar,a	semina,ra
renomiran,i	re,nomi,rani
ekspert,i	eksperti
koncert,e	konce,r,te
poznati,h	poznatih
kompozitor,a	kompozi,tora
liponenov,om	li,pone,novom
masmedij,a	ma,sme,dija
prav,u	pravu
interes,i	interesi
interes,ima	interesima
prednost,i	prednosti
čest,a	če,sta
vlasnik,e	vlasni,ke
direktor,e	dire,ktore
urednik,a	ured,nika
sudski,h	sud,skih
postupak,a	postupaka
liponenov,e	li,pone,nove
uvodnik,u	uvo,dniku
liponen,a	li,pone,na
list,ova	listova
zajednica,ma	zajednicama
motivisan,a	motivi,sana
opštinski,h	opšti,nskih
prijem,ima	prije,mima
događaj,e	događaje
haos,a	ha,o,sa
sprovođenje,m	sprovo,đenjem
ustav,om	usta,vom
aparat,a	aparata
frižider,a	fri,ži,dera
zamrzivač,a	zamr,ziva,ča
budžetski,m	budže,tskim
suficit,om	su,fici,tom
deficit,om	defici,tom
spor,ijeg	spo,rije,g
ulog,a	uloga
stran,ih	stranih
muzičar,a	muzi,čara
ijan,a	i,jana
braun,a	bra,una
planiran,a	plani,rana
masakr,a	masa,kra
exit,-u	e,x,it,-,u
sad,u	sadu
posetilac,a	posetilaca
izvođač,a	izvođa,ča
akreditovan,ih	akredi,tovanih
izveštač,i	izvešta,či
bbc,-a	bbc,-,a
mtv,-a	m,tv,-,a
ljubitelj,e	ljubi,telje
i,'m	i,',m
izvođač,ima	izvođa,čima
andervorld,a	a,nde,rvo,r,lda
posleratni,h	posle,ra,tnih
naj,poznat,iji	najpozna,tiji
koren,e	kore,ne
opis,a	opisa
ovogodišnji,h	ovo,godi,šnjih
glastonberi,ja	gla,ston,be,rija
društven,im	društvenim
tih,u	ti,hu
tekst,u	tekstu
napad,i	napa,di
exit,-a	e,x,it,-,a
pominjanje,m	pomi,nja,njem
masakr,u	ma,sak,ru
mnoštvo,m	mno,štvom
hrvat,ima	hrvati,ma
drugi,ma	drugima
rat,u	ratu
sad,a	sada
petrovaradin,u	petro,vara,dinu
nasmejan,a	nas,me,jana
festival,i	festi,vali
društven,a	društvena
hašim,om	ha,ši,mom
tači,jem	ta,či,jem
diplomatski,m	diploma,tskim
hašim,u	ha,ši,mu
tači,ju	ta,či,ju
jakup,om	ja,ku,pom
krasnići,jem	kra,sni,ći,jem
zamenik,om	zame,nikom
leri,jem	le,rije,m
rosin,om	ro,si,nom
rumunski,m	rumu,nskim
adrijan,om	ad,rija,nom
čorojanu,om	čo,ro,janu,om
hose,a	ho,se,a
luis,a	lu,i,sa
rodrigez,a	rod,ri,ge,za
zapater,a	zapa,tera
gost,iju	gostiju
nemački,m	nema,čkim
štajnmajer,om	šta,jn,ma,je,rom
brz,o	brzo
potpun,e	potpu,ne
guverner,a	gu,ver,nera
delegat,a	delega,ta
vodeći,h	vode,ćih
žan,om	ž,a,nom
lemijer,om	le,mije,rom
investitor,ima	investi,torima
očekivan,og	očekiva,nog
biznis,om	bizni,som
potpredsednik,om	potpred,se,dni,kom
miroljub,om	miro,lju,bom
labus,om	la,bu,som
projekt,ima	projektima
ton,u	to,nu
potpun,im	potpu,nim
uspeh,om	uspe,hom
rat,a	rata
narod,i	narodi
lak,ši	lak,ši
kongres,u	kongre,su
kofi,ja	ko,fija
anan,a	ana,na
prihvatljiv,og	prihvat,ljivog
demokrata,ma	demokra,tama
priznat,i	priznati
udar,a	udara
skor,o	skoro
rezolucija,ma	rezolu,cijama
vremenski,m	vremenskim
okvir,om	okvi,rom
redžep,a	re,dže,pa
tajip,a	ta,ji,pa
erdogan,a	er,do,gana
aerodrom,i	aerodro,mi
brod,ove	bro,dove
avion,e	avio,ne
obim,a	obima
sali,jem	sa,li,jem
žestok,u	že,sto,ku
kritičar,i	kriti,čari
edi,ja	e,dija
problem,om	proble,mom
pojedinac,a	pojedinaca
zakon,om	zakonom
neuobičajen,o	neu,o,bičaje,no
otkaz,a	otkaza
osoba,ma	osobama
status,om	statu,som
službenik,a	službenika
njen,im	njenim
strog,om	stro,gom
faktor,om	fakto,rom
visok,e	visoke
ostali,m	ostalim
nosilac,a	nosi,laca
monopol,ima	mono,po,lima
višegodišnji,h	više,godi,šnjih
monopol,a	mono,pola
pogodnost,i	pogodnosti
monopolist,i	mono,po,listi
biznismen,a	biznis,mena
opterećen,i	optere,ćeni
cena,ma	cenama
monopol,i	mono,poli
kartel,i	kar,teli
monopolistički,h	mono,po,listi,čkih
proizvođač,e	proizvođa,če
domaći,h	domaćih
mmf,-a	m,mf,-,a
monopol,e	mono,po,le
prehramben,oj	prehrambe,noj
mali,m	malim
prihod,ima	priho,dima
nezaposlen,i	nezaposle,ni
kartel,e	karte,le
reč,i	reči
neobuzdan,a	neo,bu,zda,na
nezakonit,o	nezakoni,to
stan,a	stana
unuk,a	unu,ka
intelektualac,a	intelek,tua,laca
organizovan,a	organizovana
dokument,u	dokumentu
civil,a	ci,vila
saopštenje,m	saopšte,njem
penzionisan,i	penzi,oni,sani
pridruživanje,m	pridru,ži,vanjem
saveznik,a	savez,nika
ostali,ma	osta,lima
mek,i	me,ki
star,e	stare
rat,ovi	ra,tovi
raspad,a	raspada
jednak,i	jedna,ki
klimav,im	klima,vim
temelj,ima	teme,ljima
prihod,e	prihode
marković,em	mar,kovi,ćem
blok,u	blo,ku
diplomiran,i	diplomi,rani
bogat,i	boga,ti
most,a	mosta
mihail,u	miha,i,lu
jovović,u	jo,vo,viću
urednik,u	ured,niku
vijest,i	vi,je,sti
glava,ma	gla,vama
komunistički,m	komunisti,čkim
vreme,nima	vremenima
neuspeh,a	neuspe,ha
izazov,i	izazo,vi
nedelja,ma	nedelja,ma
stvarnost,i	stvarnosti
loš,e	loše
slab,a	slaba
nezaposlenost,i	nezaposlenosti
novčan,e	novča,ne
slab,om	sla,bom
stručnost,i	stru,čnosti
ran,ijim	ra,nijim
izveštaj,em	izvešta,jem
euleks,-om	eu,le,ks,-,om
mustaf,a	mu,sta,fa
nov,o	novo
transparens,i	tran,spa,ren,si
internešenel,a	interne,še,nela
naj,nov,ije	najnovi,je
severni,m	sever,nim
sastav,u	sastavu
bamir,om	ba,mi,rom
topi,jem	to,pi,jem
